
--- [START 2019-07-16_01-15-09] ----------------------------------------------------------------

	@common.py:  
	set random seed
		SEED = 1563210910
	set cuda environment
		torch.__version__              = 1.1.0
		torch.version.cuda             = 9.0.176
		torch.backends.cudnn.version() = 7501
		os['CUDA_VISIBLE_DEVICES']     = 0
		torch.cuda.device_count()      = 1



	SEED         = 1563210910
	PROJECT_PATH = /root/share/project/kaggle/2019/chest/build/single_mask_05
	__file__     = /root/share/project/kaggle/2019/chest/build/single_mask_05/unet_0/train2.py
	out_dir      = /root/share/project/kaggle/2019/chest/result/unet-256-fold2-00

** dataset setting **
batch_size = 7
train_dataset : 
	mode   = train
	split  = train2_10075.npy
	csv    = train-rle.csv
	folder = dicom/dicom-images-train
	num_component[n] = 2079
	num_component[0] = 7996
	len    = 10075

valid_dataset : 
	mode   = train
	split  = valid2_600.npy
	csv    = train-rle.csv
	folder = dicom/dicom-images-train
	num_component[n] = 300
	num_component[0] = 300
	len    = 600


** net setting **
	initial_checkpoint = None
<class 'model.UNet'>

optimizer
  SGD (
Parameter Group 0
    dampening: 0
    lr: 0.01
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
schduler
  NullScheduler
lr=0.01000 

** start training here! **
   batch_size=7,  iter_accum=4
                      |----------- VALID -----------|-------- TRAIN/BATCH -------------------------
rate     iter   epoch |  loss    dice   neg   pos   |   loss    dice  neg   pos   |  time          
---------------------------------------------------------------------------------------------------
0.00000    0.0*   0.0 |  0.669   0.015  0.00  0.03  |  0.000   0.000  0.00  0.00  |  0 hr 00 min
0.01000    0.5    0.3 |  0.669   0.015  0.00  0.03  |  0.382   0.082  0.00  0.16  |  0 hr 04 min
0.01000    1.0    0.7 |  0.669   0.015  0.00  0.03  |  0.327   0.087  0.01  0.17  |  0 hr 08 min
0.01000    1.5    1.0 |  0.669   0.015  0.00  0.03  |  0.242   0.098  0.00  0.20  |  0 hr 12 min
0.01000    2.0    1.4 |  0.669   0.015  0.00  0.03  |  0.251   0.105  0.00  0.21  |  0 hr 16 min
0.01000    2.5    1.7 |  0.203   0.111  0.00  0.22  |  0.243   0.098  0.00  0.20  |  0 hr 21 min
0.01000    3.0    2.1 |  0.203   0.111  0.00  0.22  |  0.171   0.133  0.01  0.26  |  0 hr 25 min
0.01000    3.5    2.4 |  0.203   0.111  0.00  0.22  |  0.187   0.114  0.00  0.23  |  0 hr 29 min
0.01000    4.0    2.8 |  0.203   0.111  0.00  0.22  |  0.208   0.111  0.00  0.22  |  0 hr 33 min
0.01000    4.5    3.1 |  0.203   0.111  0.00  0.22  |  0.189   0.125  0.00  0.25  |  0 hr 37 min
0.01000    5.0*   3.5 |  0.173   0.118  0.00  0.24  |  0.193   0.110  0.00  0.22  |  0 hr 41 min
0.01000    5.5    3.8 |  0.173   0.118  0.00  0.24  |  0.175   0.120  0.00  0.24  |  0 hr 45 min
0.01000    6.0    4.2 |  0.173   0.118  0.00  0.24  |  0.181   0.124  0.00  0.25  |  0 hr 49 min
0.01000    6.5    4.5 |  0.173   0.118  0.00  0.24  |  0.166   0.126  0.01  0.25  |  0 hr 53 min
0.01000    7.0    4.9 |  0.173   0.118  0.00  0.24  |  0.151   0.134  0.01  0.26  |  0 hr 57 min
0.01000    7.5    5.2 |  0.164   0.130  0.00  0.26  |  0.160   0.134  0.00  0.27  |  1 hr 02 min
0.01000    8.0    5.6 |  0.164   0.130  0.00  0.26  |  0.148   0.127  0.01  0.25  |  1 hr 06 min
0.01000    8.5    5.9 |  0.164   0.130  0.00  0.26  |  0.162   0.117  0.00  0.23  |  1 hr 11 min
0.01000    9.0    6.3 |  0.164   0.130  0.00  0.26  |  0.139   0.145  0.01  0.28  |  1 hr 15 min
0.01000    9.5    6.6 |  0.164   0.130  0.00  0.26  |  0.146   0.134  0.02  0.25  |  1 hr 19 min
0.01000   10.0*   6.9 |  0.151   0.155  0.04  0.27  |  0.132   0.131  0.01  0.25  |  1 hr 23 min
0.01000   10.5    7.3 |  0.151   0.155  0.04  0.27  |  0.155   0.138  0.00  0.28  |  1 hr 27 min
0.01000   11.0    7.6 |  0.151   0.155  0.04  0.27  |  0.146   0.136  0.02  0.26  |  1 hr 31 min
0.01000   11.5    8.0 |  0.151   0.155  0.04  0.27  |  0.129   0.134  0.01  0.26  |  1 hr 35 min
0.01000   12.0    8.3 |  0.151   0.155  0.04  0.27  |  0.123   0.151  0.02  0.28  |  1 hr 39 min
0.01000   12.5    8.7 |  0.154   0.166  0.01  0.32  |  0.141   0.169  0.03  0.30  |  1 hr 43 min
0.01000   13.0    9.0 |  0.154   0.166  0.01  0.32  |  0.119   0.189  0.09  0.29  |  1 hr 47 min
0.01000   13.5    9.4 |  0.154   0.166  0.01  0.32  |  0.125   0.180  0.06  0.30  |  1 hr 51 min
0.01000   14.0    9.7 |  0.154   0.166  0.01  0.32  |  0.111   0.173  0.03  0.32  |  1 hr 55 min
0.01000   14.5   10.1 |  0.154   0.166  0.01  0.32  |  0.121   0.165  0.01  0.32  |  1 hr 59 min
0.01000   15.0*  10.4 |  0.144   0.156  0.00  0.31  |  0.115   0.174  0.02  0.32  |  2 hr 03 min
0.01000   15.5   10.8 |  0.144   0.156  0.00  0.31  |  0.105   0.189  0.06  0.32  |  2 hr 07 min
0.01000   16.0   11.1 |  0.144   0.156  0.00  0.31  |  0.096   0.180  0.03  0.33  |  2 hr 11 min
0.01000   16.5   11.5 |  0.144   0.156  0.00  0.31  |  0.108   0.189  0.04  0.34  |  2 hr 15 min
0.01000   17.0   11.8 |  0.144   0.156  0.00  0.31  |  0.095   0.203  0.06  0.34  |  2 hr 19 min
0.01000   17.5   12.2 |  0.156   0.226  0.13  0.32  |  0.100   0.171  0.02  0.33  |  2 hr 23 min
0.01000   18.0   12.5 |  0.156   0.226  0.13  0.32  |  0.089   0.213  0.09  0.34  |  2 hr 27 min
0.01000   18.5   12.9 |  0.156   0.226  0.13  0.32  |  0.092   0.227  0.07  0.39  |  2 hr 31 min
